key,date,value
retweets/other,2015-09-01,9
retweets/other,2015-10-01,29
retweets/other,2015-11-01,20
retweets/other,2015-12-01,18
retweets/other,2016-01-01,21
retweets/other,2016-02-01,18
primaries,2015-09-01,22
primaries,2015-10-01,82
primaries,2015-11-01,83
primaries,2015-12-01,62
primaries,2016-01-01,74
primaries,2016-02-01,92
health care/education,2015-09-01,15
health care/education,2015-10-01,32
health care/education,2015-11-01,17
health care/education,2015-12-01,26
health care/education,2016-01-01,31
health care/education,2016-02-01,35
media/self-promo,2015-09-01,156
media/self-promo,2015-10-01,446
media/self-promo,2015-11-01,299
media/self-promo,2015-12-01,348
media/self-promo,2016-01-01,234
media/self-promo,2016-02-01,201
econ/foreign policy,2015-09-01,27
econ/foreign policy,2015-10-01,72
econ/foreign policy,2015-11-01,71
econ/foreign policy,2015-12-01,68
econ/foreign policy,2016-01-01,34
econ/foreign policy,2016-02-01,56
